"","study_ID","short_cite","long_cite","author","publication_year","doi","peer_reviewed","coder","expt_unique","same_sample","task_type","task_type_specification","participant_design","native_language","native_language_specification","group_name_1","diagnosis_specification","group_name_2","n_1","n_2","n_1_M","n_2_M","n_1_F","n_2_F","mean_age_1","mean_age_2","sd_age_1","sd_age_2","feature","feature_specification","unit","x_1","x_2","SD_1","SD_2"
"43","Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.","Fusaroli",2013,NA,NA,"LNJ, ND","Fusaroli, et al. (2013)","AF","spontaneous","narrative elicitation","between","Danish","Danish","ASD","Aspergers","HC",10,14,7,11,3,3,358.8,325.71,81.1,92.1,"pitch_f0_range",NA,NA,135.4315877,124.427,52.57165101,41.3774409
"44","Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.","Fusaroli",2013,NA,NA,"LNJ, ND","Fusaroli, et al. (2013).1","AG","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",30,17,19,9,11,8,418.4,304.94,431.99,67.76,"pitch_f0_range",NA,NA,222.2827312,260.4344786,145.9266502,216.854051
"45","Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.","Fusaroli",2013,NA,NA,"LNJ, ND","Fusaroli, et al. (2013).2","AI","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",12,12,4,5,8,7,303,302,73.82,70.5,"pitch_f0_range",NA,NA,272.0522823,159.7789583,252.6127774,44.07474391
"46","Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.","Fusaroli",2015,NA,NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015)","AJ","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",29,38,24,27,5,11,131.26,130.54,16.81,16.06,"pitch_f0_range",NA,NA,211.0136463,184.0689193,46.9790752,24.72811342
"47","Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.","Fusaroli",2015,NA,NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015).1","AJ","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",29,38,24,27,5,11,131.26,130.54,16.81,16.06,"pitch_f0_range",NA,NA,226.9358971,224.4913235,58.84980797,26.93840035
"48","Hubbard2017","Hubbard, et al. (2017)","Hubbard, D. J., Faso, D. J., Assmann, P. F., & Sasson, N. J. (2017). Production and perception of emotional prosody by adults with autism spectrum disorder. Autism Research, 10(12), 1991-2001.","Hubbard",2017,"https://doi.org/10.1002/aur.1847","yes","LNJ, ND","Hubbard, et al. (2017)","AL","spontaneous","narrative elicitation","between","English","American English","ASD","ASD","HC",15,15,15,15,0,0,328,248,72.01,23.85,"pitch_f0_range",NA,NA,119.4476574,92.63256327,36.1304595,6.39e-06
"49","Seidl2018","Seidl et al. (2018)","Seidl, A., Cristia, A., Soderstrom, M., Ko, E. S., Abel, E. A., Kellerman, A., & Schwichtenberg, A. J. (2018). Infant–mother acoustic–prosodic alignment and developmental risk. Journal of Speech, Language, and Hearing Research, 61(6), 1369-1380.","Seidl",2018,"https://doi.org/10.1044/2018_JSLHR-S-17-0287","yes","LNJ, ND","Seidl et al. (2018)","AM","social_interaction","social interaction","between","English","American English","ASD","HR","HC",18,17,12,10,6,7,15.67,15.83,3.93,3.5,"pitch_f0_range",NA,NA,3.052563832,3.035822706,0.2455253159,0.218954067
"50","Diehl2009","Diehl, et al. (2009)","Diehl, J.J., Watson, D.G., Bennetto, L., McDonough, J., & Gunlogson, C. (2009). An acoustic analysis of prosody in high-functioning autism. Applied Psycholinguistics, 30, 385–404.","Diehl",2009,"https://doi.org/10.1017/S0142716409090201","yes","LNJ, ND","Diehl, et al. (2009)","C","spontaneous","narrative elicitation","between","English","American English","ASD","HFA","HC",21,21,19,19,2,2,162.96,158.88,25.2,25.08,"pitch_f0_sd",NA,NA,49.57,41.69,9.81,12.49
"51","Diehl2009","Diehl, et al. (2009)","Diehl, J.J., Watson, D.G., Bennetto, L., McDonough, J., & Gunlogson, C. (2009). An acoustic analysis of prosody in high-functioning autism. Applied Psycholinguistics, 30, 385–404.","Diehl",2009,"https://doi.org/10.1017/S0142716409090201","yes","LNJ, ND","Diehl, et al. (2009).1","D","spontaneous","narrative elicitation","between","English","American English","ASD","HFA","HC",17,17,13,12,4,5,105.72,113.88,25.56,26.64,"pitch_f0_sd",NA,NA,58.77,45.2,16.46,14.73
"52","Scharfstein2011","Scharfstein, et al. (2011)","Scharfstein, L.A., Beidel, D.C., Sims, V.K., & Finnell, L.R. (2011). Social skills deficits and vocal characteristics of children with social phobia or Asperger’s disorder: A comparative study. Journal of Abnormal Child psychology, 39, 865–875.","Scharfstein",2011,"https://doi.org/10.1007/s10802-011-9498-2","yes","LNJ, ND","Scharfstein, et al. (2011)","E","social_interaction","social interaction","between","English","American English","ASD","Aspergers","HC",30,30,26,22,4,8,126.84,127.2,19.2,24,"pitch_f0_sd",NA,"Hz",57.2,62.12,17.7,24.4
"53","Nakai2014","Nakai, et al. (2014)","Nakai, Y., Takashima, R., Takiguchi, T., & Takada, S. (2014). Speech intonation in children with autism spectrum disorder. Brain and Development, 36, 516–522.","Nakai",2014,"https://doi.org/10.1016/j.braindev.2013.07.006","yes","LNJ, ND","Nakai, et al. (2014)","H","spontaneous","lexical elicitation","between","Japanese","Japanese","ASD","ASD","HC",6,16,5,10,1,6,68.4,70.8,6,8.04,"pitch_f0_sd",NA,"Hz",45.14,48.19,12.2,13.25
"54","Nakai2014","Nakai, et al. (2014)","Nakai, Y., Takashima, R., Takiguchi, T., & Takada, S. (2014). Speech intonation in children with autism spectrum disorder. Brain and Development, 36, 516–522.","Nakai",2014,"https://doi.org/10.1016/j.braindev.2013.07.006","yes","LNJ, ND","Nakai, et al. (2014).1","I","spontaneous","lexical elicitation","between","Japanese","Japanese","ASD","ASD","HC",20,21,15,10,5,11,93,93,6.96,9.6,"pitch_f0_sd",NA,"Hz",50.26,61.73,12.32,17.09
"55","Kaland2012","Kaland, Krahmer, & Swerts (2012)","Kaland, C., Krahmer, E., & Swerts, M. (2012). Contrastive into- nation in autism: The effect of speaker-and listener-perspective. In Proceedings of Interspeech 2012. Portland, Oregon.","Kaland",2012,NA,NA,"LNJ, ND","Kaland, Krahmer, & Swerts (2012)","J","spontaneous","sentence elicitation","between","Dutch","Dutch","ASD","HFA","HC",20,20,14,3,6,17,346.8,261.6,NA,NA,"pitch_f0_sd",NA,"Sds",0.48,0.36,0.16,0.18
"56","Chan2016","Chan et al. (2016)","Chan, K.K., & To, C.K. (2016). Do individuals with high-functioning autism who speak a tone language show intonation deficits? Journal of Autism and Developmental Disorders, 46, 1784–1792.","Chan",2016,"https://doi.org/10.1007/s10803-016-2709-5","yes","LNJ, ND","Chan et al. (2016)","Z","spontaneous","narrative elicitation","between","Cantonese","Cantonese","ASD","ASD","HC",19,19,19,19,0,0,318,318,25,25,"pitch_f0_sd",NA,"Hz",27.35,22.16,7.86,4.69
"57","Quigley2016","Quigley et al. (2016)","Quigley, J., McNally, S., & Lawson, S. (2016). Prosodic patterns in interaction of low-risk and at-risk-of-autism spectrum disorders infants and their mothers at 12 and 18 months. Language Learning and Development, 12, 295–310.","Quigley",2016,"https://doi.org/10.1080/15475441.2015.1075405","yes","LNJ, ND","Quigley et al. (2016)","AC","social_interaction","social interaction","between","English","Irish English","ASD","ASD","HC",10,9,5,5,5,4,12.12,11.95,0.89,0.84,"pitch_f0_sd",NA,"Hz",103.78,94.24,31.65,25.77
"58","Quigley2016","Quigley et al. (2016)","Quigley, J., McNally, S., & Lawson, S. (2016). Prosodic patterns in interaction of low-risk and at-risk-of-autism spectrum disorders infants and their mothers at 12 and 18 months. Language Learning and Development, 12, 295–310.","Quigley",2016,"https://doi.org/10.1080/15475441.2015.1075405","yes","LNJ, ND","Quigley et al. (2016).1","AC","social_interaction","social interaction","between","English","Irish English","ASD","ASD","HC",10,9,5,5,5,4,18.27,18.13,0.85,0.88,"pitch_f0_sd",NA,"Hz",100.82,83.57,22.7,23.87
"59","Dahlgreen2018","Dahlgren et al. (2018)","Dahlgren, S., Sandberg, A. D., Strömbergsson, S., Wenhov, L., Råstam, M., & Nettelbladt, U. (2018). Prosodic traits in speech produced by children with autism spectrum disorders–Perceptual and acoustic measurements. Autism & Developmental Language Impairments, 3, 2396941518764527.","Dahlgreen",2018,"https://doi.org/10.1177/2396941518764527","yes","LNJ, ND","Dahlgren et al. (2018)","AD","spontaneous","narrative elicitation","between","Swedish","Swedish","ASD","ASD","HC",11,11,10,6,1,5,11.1,11.1,1.1,0.47,"pitch_f0_sd",NA,"",23.73,23.98,2.58,2.15
"60","Fusaroli2016","Fusaroli, Lambrechts, et al. (2016)","Fusaroli, R., Lambrechts, A., Yarrow, K., Maras, K., & Gaigg, S. (2016). Conversational voice patterns in adult English speakers with ASD. Paper presented at the IMFAR 2016, Baltimore, United States.","Fusaroli",2016,NA,NA,"LNJ, ND","Fusaroli, Lambrechts, et al. (2016)","AE","spontaneous","narrative elicitation","between","English","British English","ASD","ASD","HC",17,17,15,14,2,3,551.29,591.53,169.52,133.14,"pitch_f0_sd",NA,NA,67.49226899,32.05721871,57.14512987,11.9633429
"61","Fusaroli2016","Fusaroli, Lambrechts, et al. (2016)","Fusaroli, R., Lambrechts, A., Yarrow, K., Maras, K., & Gaigg, S. (2016). Conversational voice patterns in adult English speakers with ASD. Paper presented at the IMFAR 2016, Baltimore, United States.","Fusaroli",2016,NA,NA,"LNJ, ND","Fusaroli, Lambrechts, et al. (2016).1","AE","social_interaction","social interaction","between","English","British English","ASD","ASD","HC",17,17,15,14,2,3,534.35,591.53,162,145.91,"pitch_f0_sd",NA,NA,38.4251525,38.81481639,9.908545697,14.21192805
"62","Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.","Fusaroli",2013,NA,NA,"LNJ, ND","Fusaroli, et al. (2013)","AF","spontaneous","narrative elicitation","between","Danish","Danish","ASD","Aspergers","HC",10,14,7,11,3,3,358.8,325.71,81.1,92.1,"pitch_f0_sd",NA,NA,26.20531939,18.76451691,15.77920768,7.847299365
"63","Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.","Fusaroli",2013,NA,NA,"LNJ, ND","Fusaroli, et al. (2013).1","AG","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",30,17,19,9,11,8,418.4,304.94,431.99,67.76,"pitch_f0_sd",NA,NA,47.47480082,60.40603312,55.20198719,79.42255824
"64","Fusaroli2013","Fusaroli, et al. (2013)","Fusaroli, R., Bang, D., & Weed, E. (2013). Non-Linear Analyses of Speech and Prosody in Asperger’s Syndrome. Paper presented at the IMFAR 2013, San Sebastian.","Fusaroli",2013,NA,NA,"LNJ, ND","Fusaroli, et al. (2013).2","AI","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",12,12,4,5,8,7,303,302,73.82,70.5,"pitch_f0_sd",NA,NA,62.04777416,24.97494022,96.13726394,6.228721427
"65","Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.","Fusaroli",2015,NA,NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015)","AJ","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",29,38,24,27,5,11,131.26,130.54,16.81,16.06,"pitch_f0_sd",NA,NA,37.25083902,28.40995198,10.92904582,6.026617903
"66","Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.","Fusaroli",2015,NA,NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015).1","AJ","spontaneous","narrative elicitation","between","Danish","Danish","ASD","ASD","HC",29,38,24,27,5,11,131.26,130.54,16.81,16.06,"pitch_f0_sd",NA,NA,29.87039993,26.11163668,8.409625758,6.842493788
"67","Fusaroli2015","Fusaroli, Grossman, et al. (2015)","Fusaroli, R., Grossman, R.B., Cantio, C., Bilenberg, N., & Weed, E. (2015). The temporal structure of the autistic voice: A cross-linguistic examination. Paper presented at the IMFAR 2015, Salt Lake City, United States.","Fusaroli",2015,NA,NA,"LNJ, ND","Fusaroli, Grossman, et al. (2015).2","AK","spontaneous","narrative elicitation","between","English","American English","ASD","ASD","HC",52,34,50,31,2,3,152.21,160.23,36.2,36.57,"pitch_f0_sd",NA,NA,51.39461869,45.40439437,22.67295392,34.89630429
"68","Hubbard2017","Hubbard, et al. (2017)","Hubbard, D. J., Faso, D. J., Assmann, P. F., & Sasson, N. J. (2017). Production and perception of emotional prosody by adults with autism spectrum disorder. Autism Research, 10(12), 1991-2001.","Hubbard",2017,"https://doi.org/10.1002/aur.1847","yes","LNJ, ND","Hubbard, et al. (2017)","AL","spontaneous","narrative elicitation","between","English","American English","ASD","ASD","HC",15,15,15,15,0,0,328,248,72.01,23.85,"pitch_f0_sd",NA,NA,59.37879035,53.2305709,9.462172868,6.664092149
"69","Sharda2010","Sharda, et al. (2010)","Sharda, M., Subhadra, T.P., Sahay, S., Nagaraja, C., Singh, L., Mishra, R., ... Singh, N.C. (2010). Sounds of melody–pitch patterns of speech in autism. Neuroscience Letters, 478, 42–45.","Sharda",2010,"https://doi.org/10.1016/j.neulet.2010.04.066","yes","LNJ, ND","Sharda, et al. (2010)","A","social_interaction","social interaction","between","English","Hindi-English","ASD","ASD","HC",15,10,10,8,5,2,75.20004,87.6,17.09268,22.8,"pitch_f0_variability",NA,"Hz",559.6,464.7,84.9,41.2
"70","Filipe2014","Filipe, et al. (2014)","Filipe, M.G., Frota, S., Castro, S.L., & Vicente, S.G. (2014). Atypical prosody in Asperger syndrome: Perceptual and acoustic measurements. Journal of Autism and Develop- mental Disorders, 44, 1972–1981.","Filipe",2014,"https://doi.org/10.1007/s10803-014-2073-2","yes","LNJ, ND","Filipe, et al. (2014)","B","spontaneous","lexical elicitation statement","between","Portuguese","Portuguese","ASD","Aspergers","HC",12,17,10,10,2,7,102.96,100.2,6.12,5.88,"pitch_f0_variability",NA,"Hz",108.63,70.67,40.58,27.14
"71","Filipe2014","Filipe, et al. (2014)","Filipe, M.G., Frota, S., Castro, S.L., & Vicente, S.G. (2014). Atypical prosody in Asperger syndrome: Perceptual and acoustic measurements. Journal of Autism and Develop- mental Disorders, 44, 1972–1981.","Filipe",2014,"https://doi.org/10.1007/s10803-014-2073-2","yes","LNJ, ND","Filipe, et al. (2014).1","B","spontaneous","lexical elicitation question","between","Portuguese","Portuguese","ASD","Aspergers","HC",12,17,10,10,2,7,102.96,100.2,6.12,5.88,"pitch_f0_variability",NA,"Hz",175.97,124.32,54.22,45.61
"72","Diehl2009","Diehl, et al. (2009)","Diehl, J.J., Watson, D.G., Bennetto, L., McDonough, J., & Gunlogson, C. (2009). An acoustic analysis of prosody in high-functioning autism. Applied Psycholinguistics, 30, 385–404.","Diehl",2009,"https://doi.org/10.1017/S0142716409090201","yes","LNJ, ND","Diehl, et al. (2009)","C","spontaneous","narrative elicitation","between","English","American English","ASD","HFA","HC",21,21,19,19,2,2,162.96,158.88,25.2,25.08,"pitch_f0_variability",NA,NA,49.57,41.69,9.81,12.49
"73","Diehl2009","Diehl, et al. (2009)","Diehl, J.J., Watson, D.G., Bennetto, L., McDonough, J., & Gunlogson, C. (2009). An acoustic analysis of prosody in high-functioning autism. Applied Psycholinguistics, 30, 385–404.","Diehl",2009,"https://doi.org/10.1017/S0142716409090201","yes","LNJ, ND","Diehl, et al. (2009).1","D","spontaneous","narrative elicitation","between","English","American English","ASD","HFA","HC",17,17,13,12,4,5,105.72,113.88,25.56,26.64,"pitch_f0_variability",NA,NA,58.77,45.2,16.46,14.73
"74","Scharfstein2011","Scharfstein, et al. (2011)","Scharfstein, L.A., Beidel, D.C., Sims, V.K., & Finnell, L.R. (2011). Social skills deficits and vocal characteristics of children with social phobia or Asperger’s disorder: A comparative study. Journal of Abnormal Child psychology, 39, 865–875.","Scharfstein",2011,"https://doi.org/10.1007/s10802-011-9498-2","yes","LNJ, ND","Scharfstein, et al. (2011)","E","social_interaction","social interaction","between","English","American English","ASD","Aspergers","HC",30,30,26,22,4,8,126.84,127.2,19.2,24,"pitch_f0_variability",NA,NA,57.2,62.12,17.7,24.4
"75","Hubbard2007","Hubbard & Trauner (2007)","Hubbard, K., & Trauner, D.A. (2007). Intonation and emotion in autistic spectrum disorders. Journal of Psycholinguistic Research, 36, 159–173.","Hubbard",2007,"https://doi.org/10.1007/s10936-006-9037-4","yes","LNJ, ND","Hubbard & Trauner (2007)","F","constrained","imitation","between","English","American English","ASD","HFA","HC",9,10,NA,NA,NA,NA,125.4,125.4,NA,NA,"pitch_f0_variability",NA,"Sds",1.828,1.856,0.09,0.088
"76","Hubbard2007","Hubbard & Trauner (2007)","Hubbard, K., & Trauner, D.A. (2007). Intonation and emotion in autistic spectrum disorders. Journal of Psycholinguistic Research, 36, 159–173.","Hubbard",2007,"https://doi.org/10.1007/s10936-006-9037-4","yes","LNJ, ND","Hubbard & Trauner (2007).1","G","constrained","imitation","between","English","American English","ASD","Aspergers","HC",9,10,NA,NA,NA,NA,125.4,125.4,NA,NA,"pitch_f0_variability",NA,"Sds",1.928,1.856,0.097,0.088
"77","Nakai2014","Nakai, et al. (2014)","Nakai, Y., Takashima, R., Takiguchi, T., & Takada, S. (2014). Speech intonation in children with autism spectrum disorder. Brain and Development, 36, 516–522.","Nakai",2014,"https://doi.org/10.1016/j.braindev.2013.07.006","yes","LNJ, ND","Nakai, et al. (2014)","H","spontaneous","lexical elicitation","between","Japanese","Japanese","ASD","ASD","HC",6,16,5,10,1,6,68.4,70.8,6,8.04,"pitch_f0_variability",NA,"Hz",183.21,198.18,33.9,36.23
"78","Nakai2014","Nakai, et al. (2014)","Nakai, Y., Takashima, R., Takiguchi, T., & Takada, S. (2014). Speech intonation in children with autism spectrum disorder. Brain and Development, 36, 516–522.","Nakai",2014,"https://doi.org/10.1016/j.braindev.2013.07.006","yes","LNJ, ND","Nakai, et al. (2014).1","I","spontaneous","lexical elicitation","between","Japanese","Japanese","ASD","ASD","HC",20,21,15,10,5,11,93,93,6.96,9.6,"pitch_f0_variability",NA,"Hz",202.13,224.39,34.27,48.13
"79","Kaland2012","Kaland, Krahmer, & Swerts (2012)","Kaland, C., Krahmer, E., & Swerts, M. (2012). Contrastive into- nation in autism: The effect of speaker-and listener-perspective. In Proceedings of Interspeech 2012. Portland, Oregon.","Kaland",2012,NA,NA,"LNJ, ND","Kaland, Krahmer, & Swerts (2012)","J","spontaneous","sentence elicitation","between","Dutch","Dutch","ASD","HFA","HC",20,20,14,3,6,17,346.8,261.6,NA,NA,"pitch_f0_variability",NA,NA,0.48,0.36,0.16,0.18
"80","Grossmann2010","Grossman, et al. (2010)","Grossman, R.B., Bemis, R.H., Skwerer, D.P., & Tager-Flusberg, H. (2010). Lexical and affective prosody in children with high-functioning autism. Journal of Speech, Language, and Hearing Research, 53, 778–793.","Grossmann",2010,"https://doi.org/10.1044/1092-4388(2009/08-0127)","yes","LNJ, ND","Grossman, et al. (2010)","K","spontaneous","lexical elicitation","between","English","American English","ASD","HFA","HC",11,9,11,9,0,0,147.6,150.96,27,36.96,"pitch_f0_variability",NA,"Hz",170,108.64,86.64,53.94
"81","Bonneh2011","Bonneh, et al. (2011)","Bonneh, Y.S., Levanon, Y., Dean-Pardo, O., Lossos, L., & Adini, Y. (2011). Abnormal speech spectrum and increased pitch variability in young autistic children. Frontiers in Human Neuroscience, 4, 237.","Bonneh",2011,"https://doi.org/10.3389/fnhum.2010.00237","yes","LNJ, ND","Bonneh, et al. (2011)","L","spontaneous","lexical elicitation","between","Hebrew","Hebrew","ASD","HFA","HC",41,42,33,17,8,25,60,61.2,13.2,8.4,"pitch_f0_variability",NA,"Hz",264,249,23,25
"82","Green2009","Green & Tobin (2009)","Green, H., & Tobin, Y. (2009). Prosodic analysis is difficult... but worth it: A study in high functioning autism. Interna- tional Journal of Speech-Language Pathology, 11, 308–315.","Green",2009,"https://doi.org/10.1080/17549500903003060","yes","LNJ, ND","Green & Tobin (2009)","M","spontaneous","sentence elicitation","between","Hebrew","Hebrew","ASD","HFA","HC",10,10,10,10,0,0,132,132,12,12,"pitch_f0_variability",NA,"semitones",26.9,2,NA,NA
"83","Nadig2012","Nadig & Shaw (2012)","Nadig, A., & Shaw, H. (2012). Acoustic and perceptual measurement of expressive prosody in high-functioning autism: Increased pitch range and what it means to listeners. Journal of Autism and Development Disorders, 42, 499–511.","Nadig",2012,"https://doi.org/10.1007/s10803-011-1264-3","yes","LNJ, ND","Nadig & Shaw (2012)","N","social_interaction","social interaction","between","English","Canadian English","ASD","HFA","HC",15,13,13,11,2,2,132,132,18.96,24,"pitch_f0_variability",NA,"Hz",217.04,132.6,63.83,68.29
"84","Nadig2012","Nadig & Shaw (2012)","Nadig, A., & Shaw, H. (2012). Acoustic and perceptual measurement of expressive prosody in high-functioning autism: Increased pitch range and what it means to listeners. Journal of Autism and Development Disorders, 42, 499–511.","Nadig",2012,"https://doi.org/10.1007/s10803-011-1264-3","yes","LNJ, ND","Nadig & Shaw (2012).1","O","spontaneous","description elicitation","between","English","Canadian English","ASD","HFA","HC",15,11,12,9,3,2,126,128.04,16.8,22.8,"pitch_f0_variability",NA,"Hz",155.72,122.61,40.77,37
"85","Chan2016","Chan et al. (2016)","Chan, K.K., & To, C.K. (2016). Do individuals with high-functioning autism who speak a tone language show intonation deficits? Journal of Autism and Developmental Disorders, 46, 1784–1792.","Chan",2016,"https://doi.org/10.1007/s10803-016-2709-5","yes","LNJ, ND","Chan et al. (2016)","Z","spontaneous","narrative elicitation","between","Cantonese","Cantonese","ASD","ASD","HC",19,19,19,19,0,0,318,318,25,25,"pitch_f0_variability",NA,NA,27.35,22.16,7.86,4.69
"86","Parish-Morris2016","Parish-Morris et al. (2016)","Parish-Morris, J., Liberman, M., Ryant, N., Cieri, C., Bateman, L., Ferguson, E., & Schultz, R.T. (2016). Exploring Autism Spectrum Disorders Using HLT. In Proceedings of 2016 Conference of the North American Chapter of the Associa- tion for Computational Linguistics — Human Language Technologies. Stroudsburg (PA): Association for Computa- tional Linguistics.","Parish-Morris",2016,NA,NA,"LNJ, ND","Parish-Morris et al. (2016)","AB","social_interaction","social interaction","between","English","American English","ASD","ASD","HC",65,17,49,8,16,9,120,135.48,NA,NA,"pitch_f0_variability",NA,"",1.99,1.47,0.7,0.19
